time,open,high,low,close,volume
2025-04-21 13:00:00,87063,87597,86808,87056,438.3348000000001
2025-04-21 14:00:00,87056,88519,86971,88236,1033.778399999999
2025-04-21 15:00:00,88236,88360,87889,88093,330.9741
2025-04-21 16:00:00,88093,88292,87071,87191,385.5848
2025-04-21 17:00:00,87191,87337,86339,86860,997.2314
2025-04-21 18:00:00,86860,87073,86661,86800,255.3552999999999
2025-04-21 19:00:00,86800,87506,86700,87432,489.6755
2025-04-21 20:00:00,87432,87453,87162,87381,114.9125999999999
2025-04-21 21:00:00,87381,87426,86900,87290,75.363
2025-04-21 22:00:00,87290,87308,86950,87176,82.6779
2025-04-21 23:00:00,87176,87644,87044,87525,68.5895
2025-04-22 00:00:00,87525,87740,87084,87705,142.6994
2025-04-22 01:00:00,87705,88882,87524,88420,289.306
2025-04-22 02:00:00,88420,88702,87920,88196,142.3983
2025-04-22 03:00:00,88196,88300,87860,88185,79.918
2025-04-22 04:00:00,88185,88382,88062,88078,81.6488
2025-04-22 05:00:00,88078,88422,87986,88390,96.575
2025-04-22 06:00:00,88390,88478,88009,88270,141.3931
2025-04-22 07:00:00,88270,88536,88183,88535,138.5809
2025-04-22 08:00:00,88535,88711,88356,88426,195.353
2025-04-22 09:00:00,88426,88632,88347,88596,53.5347
2025-04-22 10:00:00,88596,88629,88280,88536,107.1568
2025-04-22 11:00:00,88536,88763,88502,88648,108.298
2025-04-22 12:00:00,88648,89308,88519,89036,270.9404000000001
2025-04-22 13:00:00,89036,90659,88985,90300,1039.406600000001
2025-04-22 14:00:00,90300,91035,90092,90861,612.0558
2025-04-22 15:00:00,90861,91520,90422,91022,674.3459
2025-04-22 16:00:00,91022,91124,90720,90771,216.188
2025-04-22 17:00:00,90771,91583,90730,91480,423.1171999999998
2025-04-22 18:00:00,91480,91780,91228,91593,195.7850999999999
2025-04-22 19:00:00,91593,91786,90925,91493,218.24
2025-04-22 20:00:00,91493,91592,91122,91171,92.1924
2025-04-22 21:00:00,91171,94553,91101,93089,688.327299999999
2025-04-22 22:00:00,93089,93389,92600,92849,337.6923
2025-04-22 23:00:00,92849,93931,92848,93517,374.9952999999999
2025-04-23 00:00:00,93517,93970,92857,92975,211.9883
2025-04-23 01:00:00,92975,93575,92647,92697,191.7550000000001
2025-04-23 02:00:00,92697,93344,92666,92935,91.6223
2025-04-23 03:00:00,92935,93272,92743,93222,41.3343
2025-04-23 04:00:00,93222,93747,93086,93747,108.615
2025-04-23 05:00:00,93747,93754,93361,93531,131.9109
2025-04-23 06:00:00,93531,93935,93485,93695,129.9036
2025-04-23 07:00:00,93695,94325,93534,94196,229.3570999999998
2025-04-23 08:00:00,94196,94569,93961,94340,261.3814000000001
2025-04-23 09:00:00,94340,94452,93929,93934,88.9019
2025-04-23 10:00:00,93934,93952,93394,93784,196.8184000000001
2025-04-23 11:00:00,93784,93842,93361,93508,127.7624
2025-04-23 12:00:00,93508,93908,93464,93784,90.781
2025-04-23 13:00:00,93784,94785,92899,93080,826.678500000001
2025-04-23 14:00:00,93080,93703,92690,92989,553.2075
2025-04-23 15:00:00,92989,93277,91955,93221,521.6758
2025-04-23 16:00:00,93221,93899,92914,93672,306.6006
2025-04-23 17:00:00,93672,94000,93485,93931,152.8208
2025-04-23 18:00:00,93931,94259,93650,93650,130.7233
2025-04-23 19:00:00,93650,93664,92987,93535,189.2551
2025-04-23 20:00:00,93535,93923,93510,93685,84.9579
2025-04-23 21:00:00,93685,93949,93323,93530,114.3808
2025-04-23 22:00:00,93530,93825,93275,93816,343.044799999999
2025-04-23 23:00:00,93816,93902,93576,93745,216.6770999999999
2025-04-24 00:00:00,93745,93838,93291,93416,98.8283
2025-04-24 01:00:00,93416,93655,93113,93540,63.1661
2025-04-24 02:00:00,93540,93670,93081,93134,67.2374
2025-04-24 03:00:00,93134,93354,92667,92706,112.4719
2025-04-24 04:00:00,92706,92859,92402,92763,125.5219
2025-04-24 05:00:00,92763,92920,92560,92603,56.3319
2025-04-24 06:00:00,92603,92680,92280,92422,112.9607
2025-04-24 07:00:00,92422,92658,92119,92223,191.0786
2025-04-24 08:00:00,92223,92387,91685,92062,254.1001
2025-04-24 09:00:00,92062,92612,92017,92512,135.791
2025-04-24 10:00:00,92512,92700,92401,92587,81.8582
2025-04-24 11:00:00,92587,92678,92300,92648,92.192
2025-04-24 12:00:00,92648,92844,92461,92812,83.7805
2025-04-24 13:00:00,92812,93031,92595,92865,150.2234
2025-04-24 14:00:00,92865,93468,92680,93152,413.2898000000001
2025-04-24 15:00:00,93152,93525,93072,93272,174.7438
2025-04-24 16:00:00,93272,93678,93272,93414,151.1338
2025-04-24 17:00:00,93414,93498,92729,93071,168.3361
2025-04-24 18:00:00,93071,93525,93048,93444,91.2573
2025-04-24 19:00:00,93444,93723,93255,93622,150.9808
2025-04-24 20:00:00,93622,93714,93366,93448,72.1365
2025-04-24 21:00:00,93448,93632,93072,93420,57.4458
2025-04-24 22:00:00,93420,93650,93343,93489,74.2627
